variety,planting_date,days_to_harvest,head_weight_kg,head_diameter_cm,soil_ph,irrigation_liters_week,pest_present,fertilizer_type,quality_grade
Пекинская,2025-03-08,52,1.38,11.5,6.24,21.5,False,Комплексное,B
Брокколи,2026-02-12,71,1.25,11.9,5.91,15.9,False,Комплексное,A
Брюссельская,2024-10-02,103,0.9,7.8,6.23,7.9,False,Минеральное,B
Краснокочанная,2024-12-16,143,1.84,21.8,6.44,10.6,False,Комплексное,A
Кольраби,2025-11-16,80,0.67,7.6,7.24,16.7,False,Органическое,B
Краснокочанная,2026-05-07,115,2.45,13.4,6.22,17.5,False,Без удобрений,A
Цветная,2026-04-13,106,1.48,12.9,7.34,8.2,False,Комплексное,B
Пекинская,2025-12-13,63,0.95,11.8,5.87,13.8,False,Минеральное,B
Савойская,2024-10-23,124,1.72,16.4,6.12,14.6,False,Органическое,A
Белокочанная,2026-04-23,116,2.79,23.6,6.58,3.5,False,Минеральное,B
Кольраби,2024-10-11,65,1.06,13.0,5.86,9.0,False,Комплексное,A
Брокколи,2025-10-28,67,0.63,11.2,6.55,18.7,True,Минеральное,C
Брокколи,2024-12-10,98,0.36,14.8,7.0,14.5,True,Без удобрений,D
Белокочанная,2026-04-12,123,2.99,21.5,5.27,13.1,False,Органическое,A
Цветная,2024-08-19,89,0.85,11.8,6.65,19.2,False,Органическое,B
Брокколи,2025-04-11,81,1.35,15.9,7.46,14.7,False,Органическое,A
Белокочанная,2025-02-19,116,3.69,15.4,6.48,12.2,False,Без удобрений,A
Кольраби,2026-02-23,91,0.98,10.0,5.57,15.2,False,Комплексное,A
Цветная,2024-11-07,109,1.63,14.0,7.19,20.1,False,Минеральное,B
Кольраби,2024-10-04,90,0.28,13.7,6.05,12.8,False,Биоудобрение,A
Кольраби,2025-09-20,60,0.53,9.9,7.02,10.9,False,Комплексное,B
Цветная,2025-06-28,99,1.04,13.3,6.53,5.5,False,Органическое,A
Краснокочанная,2026-03-31,146,2.69,24.1,6.49,13.2,False,Минеральное,A
Пекинская,2024-12-29,49,1.21,15.7,5.75,13.3,False,Органическое,A
Кольраби,2024-06-14,59,0.43,11.5,7.29,9.0,False,Органическое,B
Кольраби,2024-05-15,60,1.23,7.9,6.58,12.1,False,Биоудобрение,A
Пекинская,2026-05-04,64,1.4,9.6,6.45,8.9,False,Биоудобрение,A
Пекинская,2025-12-01,50,0.76,11.6,5.71,11.8,True,Без удобрений,D
Брюссельская,2026-02-22,130,0.88,7.4,5.88,14.0,False,Органическое,A
Пекинская,2025-12-24,69,0.93,12.0,5.56,12.8,True,Комплексное,C
Брюссельская,2025-07-26,128,0.68,4.6,6.5,8.0,False,Комплексное,A
Белокочанная,2026-04-23,131,3.07,18.5,6.81,12.9,False,Минеральное,A
Кольраби,2024-06-02,85,0.77,8.1,6.33,10.0,True,Органическое,C
Белокочанная,2025-06-09,92,3.27,20.7,5.41,13.0,False,Комплексное,A
Цветная,2025-11-28,88,1.31,19.6,7.02,8.2,False,Минеральное,B
Пекинская,2026-02-25,58,0.9,8.9,5.58,8.2,True,Биоудобрение,D
Брюссельская,2025-08-04,99,0.73,8.6,6.89,9.0,False,Минеральное,A
Краснокочанная,2024-12-08,100,1.74,17.6,7.05,15.2,False,Органическое,B
Кольраби,2024-07-31,75,0.99,13.3,6.27,9.4,False,Минеральное,A
Брокколи,2024-04-14,69,0.92,9.3,5.96,4.3,False,Биоудобрение,B
Краснокочанная,2025-05-25,115,1.02,19.9,5.44,13.6,True,Комплексное,C
Брокколи,2025-12-26,103,1.3,15.2,5.39,10.2,False,Биоудобрение,B
Краснокочанная,2024-10-27,106,2.2,18.4,6.71,25.1,False,Минеральное,C
Брюссельская,2024-03-30,126,0.68,6.6,5.31,14.0,False,Органическое,B
Брокколи,2025-11-25,89,0.82,10.2,6.84,7.7,False,Комплексное,A
Савойская,2024-05-15,111,1.98,17.4,6.26,10.0,False,Минеральное,A
Краснокочанная,2024-10-29,142,1.82,13.0,6.12,10.9,False,Без удобрений,B
Белокочанная,2025-11-11,112,1.85,16.9,6.99,17.3,False,Органическое,B
Савойская,2025-12-04,120,1.85,13.3,5.43,12.2,False,Без удобрений,B
Савойская,2024-09-22,107,1.12,19.6,5.52,2.7,False,Биоудобрение,C
Цветная,2026-06-02,118,1.9,15.8,5.48,15.1,False,Комплексное,B
Краснокочанная,2026-05-19,116,2.8,22.3,6.15,12.8,False,Комплексное,A
Пекинская,2025-06-26,52,1.28,12.6,5.26,16.8,False,Органическое,C
Краснокочанная,2024-07-22,141,0.88,14.3,5.31,25.9,True,Органическое,D
Брокколи,2025-10-23,90,1.38,10.8,6.98,15.3,True,Минеральное,C
Кольраби,2024-10-28,78,0.32,8.6,7.25,17.9,False,Биоудобрение,B
Кольраби,2024-06-02,74,0.91,11.5,6.79,9.6,True,Комплексное,C
Пекинская,2025-10-22,50,0.78,15.1,5.72,15.4,True,Биоудобрение,D
Савойская,2024-06-21,115,0.95,16.3,6.79,13.7,False,Органическое,A
Краснокочанная,2026-04-03,117,3.04,13.9,5.35,9.4,False,Минеральное,B
Брюссельская,2025-06-13,96,0.63,7.0,6.74,27.2,False,Минеральное,B
Савойская,2024-05-07,135,1.83,16.4,5.5,9.2,False,Минеральное,B
Краснокочанная,2025-12-31,114,2.11,23.7,6.76,13.8,False,Минеральное,B
Цветная,2025-05-12,75,2.02,13.2,5.95,12.7,False,Минеральное,A
Савойская,2025-09-21,125,2.47,19.5,5.34,17.9,False,Минеральное,C
Цветная,2024-06-15,105,1.23,19.3,6.59,14.4,False,Без удобрений,A
Белокочанная,2025-11-14,111,3.82,18.1,7.43,14.5,False,Комплексное,B
Брокколи,2024-05-11,88,0.96,10.8,5.54,12.3,False,Органическое,B
Краснокочанная,2024-04-23,133,1.73,16.9,5.57,13.0,True,Минеральное,C
Краснокочанная,2025-02-17,102,1.62,24.2,6.23,11.8,False,Комплексное,A
Пекинская,2026-04-25,62,0.59,12.6,5.53,12.9,True,Комплексное,C
Цветная,2024-05-13,90,1.56,16.5,6.15,12.8,False,Без удобрений,B
Краснокочанная,2025-04-19,126,1.18,21.9,5.25,9.7,False,Комплексное,A
Краснокочанная,2025-04-10,141,1.26,17.1,7.29,12.9,False,Без удобрений,B
Савойская,2024-10-28,105,1.06,19.6,5.45,12.9,True,Комплексное,C
Кольраби,2026-01-27,77,0.38,6.8,7.42,7.8,False,Комплексное,B
Брюссельская,2025-10-27,111,0.37,7.1,5.33,9.6,False,Без удобрений,C
Брокколи,2025-06-17,100,0.98,10.6,6.59,19.3,True,Биоудобрение,C
Белокочанная,2025-06-05,103,1.54,22.6,5.45,16.0,False,Минеральное,B
Савойская,2025-03-08,135,2.11,14.8,6.09,12.2,False,Минеральное,A
Брюссельская,2024-11-14,127,0.92,8.2,6.94,8.2,False,Органическое,B
Брокколи,2024-07-11,68,1.42,18.6,6.63,16.2,False,Комплексное,A
Краснокочанная,2025-12-22,121,3.12,18.1,6.81,12.2,False,Биоудобрение,A
Краснокочанная,2024-12-28,103,2.34,21.8,7.23,18.5,False,Биоудобрение,B
Савойская,2024-08-14,98,1.64,20.0,5.63,11.0,False,Комплексное,B
Брюссельская,2026-04-10,120,1.25,4.8,7.0,8.3,False,Комплексное,A
Кольраби,2025-06-16,67,0.93,7.9,7.05,13.8,False,Органическое,B
Цветная,2025-09-19,86,0.76,17.0,7.44,11.8,True,Без удобрений,D
Пекинская,2026-06-15,64,0.9,9.4,6.28,12.5,True,Минеральное,B
Краснокочанная,2026-03-02,144,3.19,23.0,6.76,13.6,False,Комплексное,A
Краснокочанная,2024-03-20,107,2.59,15.4,5.81,15.6,False,Минеральное,B
Кольраби,2024-05-04,76,0.61,7.3,5.47,17.5,True,Минеральное,D
Брокколи,2024-09-08,96,0.97,12.8,6.79,22.3,True,Минеральное,C
Белокочанная,2025-12-11,105,3.0,20.7,6.13,8.4,False,Без удобрений,B
Цветная,2024-07-15,106,1.58,13.3,5.31,6.0,True,Комплексное,D
Кольраби,2024-04-07,91,0.49,10.2,5.9,15.6,True,Биоудобрение,C
Пекинская,2024-12-18,68,1.14,13.5,6.06,14.5,False,Органическое,B
Цветная,2024-09-08,116,1.45,15.0,6.39,3.9,False,Комплексное,B
Брюссельская,2025-01-23,102,0.94,5.8,5.45,11.4,False,Комплексное,A
Цветная,2025-11-20,112,1.18,14.5,7.6,11.3,False,Без удобрений,A
Белокочанная,2024-07-25,136,1.97,17.2,7.24,11.1,True,Органическое,D
Кольраби,2025-03-15,72,0.54,7.8,6.09,13.4,False,Минеральное,B
Брокколи,2025-09-27,93,0.67,10.6,5.48,14.0,False,Комплексное,B
Кольраби,2024-05-29,90,0.66,12.0,7.15,24.5,False,Комплексное,C
Савойская,2026-05-22,126,0.97,19.6,6.07,14.9,False,Органическое,A
Савойская,2025-11-17,122,2.11,22.1,7.32,16.7,False,Минеральное,B
Краснокочанная,2025-06-04,137,1.57,25.6,6.32,10.9,False,Минеральное,A
Белокочанная,2024-07-06,123,4.01,26.4,6.44,12.2,False,Органическое,A
Брюссельская,2024-07-07,127,0.57,7.4,6.7,11.7,False,Минеральное,A
Белокочанная,2024-03-30,129,2.2,20.9,5.39,19.5,False,Органическое,C
Брюссельская,2025-12-18,96,0.86,4.2,7.5,5.8,False,Органическое,B
Цветная,2025-11-12,97,0.91,14.7,5.54,15.3,False,Органическое,B
Кольраби,2024-07-04,81,0.48,12.6,5.84,13.0,False,Минеральное,A
Цветная,2024-09-11,71,0.84,14.8,7.03,8.2,False,Органическое,B
Цветная,2024-04-19,107,0.6,11.2,5.32,4.7,False,Минеральное,C
Цветная,2026-04-22,88,0.95,16.9,6.17,14.2,False,Минеральное,A
Краснокочанная,2024-07-10,150,1.23,17.4,7.54,7.4,False,Биоудобрение,B
Белокочанная,2024-07-19,102,1.81,21.1,6.91,14.6,True,Биоудобрение,C
Брюссельская,2025-10-29,91,0.77,7.2,6.01,15.3,False,Органическое,B
Белокочанная,2025-11-02,136,1.49,20.6,6.34,19.8,False,Минеральное,B
Брокколи,2024-07-30,88,0.89,11.1,7.17,13.3,False,Органическое,A
Кольраби,2026-03-24,85,0.69,9.3,6.95,11.7,False,Биоудобрение,B
Цветная,2025-09-11,109,1.57,22.0,6.05,13.9,False,Комплексное,A
Брюссельская,2026-04-29,107,0.64,6.9,5.89,14.7,False,Органическое,A
Брокколи,2025-02-17,84,1.67,15.5,7.49,14.1,False,Комплексное,B
Брюссельская,2025-09-27,123,0.54,4.8,6.87,16.6,False,Органическое,A
Кольраби,2024-06-11,85,0.68,7.6,6.83,19.7,False,Органическое,A
Белокочанная,2026-04-27,103,2.44,22.0,5.41,8.6,False,Биоудобрение,B
Брокколи,2026-05-16,60,0.83,14.6,6.39,22.4,False,Комплексное,B
Кольраби,2025-12-17,67,0.92,8.7,6.5,3.6,False,Минеральное,B
Савойская,2024-03-15,135,2.66,20.6,6.97,14.3,False,Органическое,B
Краснокочанная,2024-09-06,134,1.8,19.6,7.56,3.7,True,Минеральное,D
Белокочанная,2024-11-23,119,3.05,24.8,6.77,12.5,True,Органическое,C
Краснокочанная,2025-12-15,110,1.99,24.1,7.4,11.5,False,Органическое,A
Кольраби,2026-04-15,60,0.79,11.5,6.49,11.6,False,Комплексное,A
Краснокочанная,2024-05-03,133,2.09,20.4,7.19,15.2,False,Органическое,B
Кольраби,2026-06-07,77,0.87,9.3,5.33,15.8,False,Минеральное,B
Краснокочанная,2024-04-16,134,1.04,16.7,6.22,11.5,True,Биоудобрение,C
Брокколи,2025-03-19,96,0.52,17.8,7.58,7.0,False,Минеральное,B
Брокколи,2025-08-24,91,1.09,14.1,5.51,20.5,False,Биоудобрение,C
Пекинская,2025-06-15,71,1.27,15.2,6.03,11.5,False,Без удобрений,A
Краснокочанная,2024-06-12,102,1.84,16.4,6.63,7.4,False,Органическое,A
Белокочанная,2024-07-22,128,3.58,26.5,6.41,11.2,False,Органическое,A
Пекинская,2025-04-28,72,1.07,9.3,5.92,22.0,False,Биоудобрение,B
Брокколи,2026-05-14,94,1.07,18.9,6.46,11.6,False,Органическое,A
Кольраби,2024-04-29,72,0.45,6.4,6.55,18.0,True,Органическое,C
Пекинская,2024-04-22,80,0.88,10.8,5.84,10.5,False,Органическое,B
Белокочанная,2024-10-03,107,3.21,22.2,7.45,14.9,False,Минеральное,B
Цветная,2026-05-04,101,1.42,19.8,5.88,7.3,False,Органическое,B
Цветная,2024-09-25,86,1.62,17.0,6.09,8.6,False,Органическое,A
Пекинская,2025-02-01,67,0.92,15.8,5.75,10.3,False,Биоудобрение,B
Кольраби,2025-06-15,90,1.12,13.7,5.6,13.7,False,Минеральное,B
Краснокочанная,2026-01-14,112,0.89,16.9,5.32,15.2,False,Без удобрений,C
Кольраби,2026-01-05,76,0.6,8.0,6.37,18.1,True,Минеральное,C
Брокколи,2026-06-04,101,0.98,16.5,7.46,16.8,False,Органическое,A
Цветная,2025-04-20,75,2.08,20.9,6.3,13.3,False,Комплексное,A
Брокколи,2025-03-22,91,1.21,12.8,6.53,13.5,True,Минеральное,B
Белокочанная,2024-10-22,95,2.6,15.9,5.71,18.7,False,Без удобрений,C
Савойская,2025-01-17,102,1.49,19.6,5.24,13.6,False,Комплексное,A
Цветная,2025-03-29,92,0.8,15.1,7.01,20.6,False,Минеральное,A
Брокколи,2026-05-02,95,1.57,13.6,5.98,8.3,False,Органическое,B
Краснокочанная,2026-04-30,149,2.34,13.6,6.68,14.9,True,Органическое,C
Краснокочанная,2024-03-06,133,1.27,14.0,7.46,6.6,True,Без удобрений,D
Цветная,2025-09-19,96,1.85,19.5,5.42,10.1,False,Органическое,B
Пекинская,2025-10-07,54,0.68,13.4,6.45,12.0,False,Органическое,A
Краснокочанная,2025-03-05,106,1.41,14.2,5.8,13.1,False,Органическое,A
Брокколи,2026-06-02,99,0.67,12.1,7.27,9.1,False,Комплексное,A
Цветная,2024-08-29,108,1.81,15.0,7.51,16.3,False,Минеральное,B
Цветная,2024-06-25,77,1.83,14.3,7.44,17.3,True,Комплексное,B
Брюссельская,2026-02-08,112,0.56,6.8,5.37,17.1,False,Органическое,C
Краснокочанная,2025-06-03,146,1.94,13.4,7.58,9.0,False,Биоудобрение,B
Краснокочанная,2024-06-20,141,2.3,17.2,7.05,10.9,False,Без удобрений,B
Брокколи,2024-06-17,99,0.71,13.3,5.23,12.7,False,Минеральное,B
Савойская,2025-02-17,106,1.31,14.8,7.59,9.7,False,Без удобрений,C
Цветная,2025-07-01,121,0.65,17.0,5.43,12.2,True,Без удобрений,D
Савойская,2026-03-29,110,2.27,19.8,5.79,14.1,False,Биоудобрение,A
Брокколи,2024-03-30,73,0.64,14.6,6.97,16.2,False,Без удобрений,B
Краснокочанная,2026-05-28,132,2.24,20.3,7.29,14.4,False,Органическое,A
Краснокочанная,2025-02-20,139,2.42,20.5,6.04,10.6,False,Комплексное,A
Краснокочанная,2024-09-04,127,1.6,20.8,6.1,15.5,False,Минеральное,A
Савойская,2025-09-20,118,2.66,18.2,5.6,12.4,False,Комплексное,A
Кольраби,2025-04-23,56,0.7,7.0,6.84,6.4,False,Без удобрений,B
Брюссельская,2024-08-20,126,0.47,7.2,7.07,6.7,False,Минеральное,B
Белокочанная,2026-04-18,142,1.4,20.6,6.93,2.0,True,Комплексное,D
Краснокочанная,2025-05-24,145,1.83,19.7,7.28,18.4,False,Комплексное,A
Савойская,2026-05-13,130,1.2,23.1,5.7,13.4,False,Органическое,A
Краснокочанная,2024-07-17,110,2.46,14.5,7.51,15.0,False,Комплексное,B
Пекинская,2026-04-19,70,1.26,14.0,7.22,11.3,False,Комплексное,A
Брюссельская,2026-02-10,97,0.81,5.1,7.45,6.3,False,Без удобрений,B
Краснокочанная,2026-05-24,118,2.0,20.3,6.48,13.9,False,Органическое,A
Цветная,2026-01-28,80,1.25,9.9,7.03,18.4,False,Без удобрений,B
Савойская,2025-12-26,104,1.19,19.0,5.92,18.8,True,Минеральное,D
Брюссельская,2026-03-14,120,0.4,6.3,6.88,13.6,False,Без удобрений,A
Белокочанная,2026-02-11,104,2.2,22.4,6.02,18.8,False,Минеральное,A
Брюссельская,2024-07-19,94,0.92,3.9,6.12,16.2,False,Комплексное,B
Пекинская,2025-12-04,51,0.73,10.1,7.0,17.8,False,Органическое,B
Брокколи,2025-01-17,98,0.81,20.3,7.1,13.1,False,Комплексное,A
Брюссельская,2024-09-27,105,0.69,4.0,6.44,6.4,False,Без удобрений,B
Белокочанная,2025-03-05,135,1.85,18.3,7.44,18.4,False,Минеральное,B
Краснокочанная,2024-03-15,140,2.65,21.5,5.83,14.4,False,Минеральное,A
Савойская,2024-12-10,118,1.46,18.1,5.4,20.9,False,Органическое,B
Краснокочанная,2025-01-12,131,0.93,17.1,6.88,12.0,True,Без удобрений,D
Савойская,2024-07-01,131,2.15,18.9,5.23,13.4,False,Органическое,B
Брюссельская,2026-03-21,95,0.63,8.5,7.33,13.1,False,Органическое,B
Цветная,2024-04-26,106,1.65,11.2,6.4,9.5,False,Без удобрений,B
Белокочанная,2024-11-06,99,2.14,21.0,5.31,7.1,True,Биоудобрение,D
Цветная,2024-11-10,106,1.52,11.3,6.2,12.4,True,Минеральное,C
Белокочанная,2025-04-15,128,2.37,18.8,5.37,9.8,False,Органическое,B
Пекинская,2025-06-19,79,1.18,10.3,6.08,26.8,False,Комплексное,C
Пекинская,2025-09-06,69,1.29,13.8,6.03,17.4,False,Без удобрений,C
Пекинская,2025-05-04,59,1.28,11.2,6.38,25.7,False,Без удобрений,B
Краснокочанная,2025-10-16,133,1.82,13.1,5.43,18.0,True,Минеральное,C
Брокколи,2026-02-16,68,1.3,14.4,7.2,11.0,False,Биоудобрение,A
Кольраби,2025-01-16,71,0.9,6.6,6.18,2.9,False,Органическое,B
Белокочанная,2024-10-07,123,1.62,17.5,7.21,12.2,False,Органическое,A
Брокколи,2025-06-07,71,0.47,16.0,6.53,11.3,True,Комплексное,B
Брокколи,2025-03-17,64,0.53,10.3,6.85,14.5,False,Биоудобрение,A
Савойская,2024-06-03,110,2.23,15.7,7.37,14.7,True,Минеральное,D
Брокколи,2026-01-29,69,0.48,15.0,6.22,7.7,False,Минеральное,A
Брокколи,2025-09-15,93,0.82,18.7,6.35,16.3,False,Комплексное,A
Брокколи,2026-05-10,80,0.85,10.6,6.91,6.1,False,Минеральное,B
Брюссельская,2024-04-29,100,0.43,7.1,7.14,9.3,False,Органическое,B
Белокочанная,2026-04-22,103,1.88,21.7,7.59,14.5,False,Органическое,A
Белокочанная,2026-02-19,121,2.59,15.4,6.88,17.9,False,Органическое,B
Пекинская,2024-03-21,56,1.56,14.5,6.46,21.9,False,Органическое,B
Савойская,2026-05-02,126,1.55,15.5,5.47,9.2,True,Комплексное,C
Брокколи,2026-05-20,99,1.47,11.4,6.73,9.5,False,Минеральное,A
Брюссельская,2026-03-22,115,1.13,7.1,6.85,17.5,False,Биоудобрение,A
Цветная,2026-06-07,119,0.82,15.2,7.52,13.9,False,Органическое,A
Краснокочанная,2026-02-24,148,1.02,14.0,6.81,12.5,True,Органическое,C
Брокколи,2025-05-23,94,0.87,16.8,6.96,21.2,False,Минеральное,B
Пекинская,2024-08-14,55,0.56,10.4,6.28,13.3,True,Органическое,C
Краснокочанная,2025-02-10,114,1.85,15.9,6.63,9.5,True,Биоудобрение,C
Пекинская,2025-04-24,60,0.71,12.9,6.87,11.9,False,Органическое,B
Белокочанная,2025-03-05,99,1.22,14.5,5.21,19.4,False,Минеральное,B
Краснокочанная,2025-01-10,124,1.36,21.7,7.08,4.7,False,Комплексное,B
Брюссельская,2025-05-25,100,0.42,5.5,6.32,13.5,True,Комплексное,B
Пекинская,2025-09-18,78,1.2,11.0,5.35,9.3,False,Комплексное,B
Белокочанная,2025-07-28,138,2.47,25.2,6.57,7.8,False,Органическое,A
Пекинская,2024-07-08,57,1.6,11.6,5.3,18.3,False,Комплексное,B
Краснокочанная,2024-05-29,100,2.87,20.1,6.13,10.2,False,Минеральное,A
Брокколи,2024-08-01,98,1.32,16.8,5.56,7.3,False,Биоудобрение,C
Брокколи,2024-11-26,73,0.93,13.9,6.12,7.5,True,Органическое,C
Цветная,2026-02-06,121,1.07,13.8,5.77,12.8,False,Без удобрений,C
Краснокочанная,2024-10-20,128,2.18,14.4,5.52,17.3,False,Органическое,B
Брокколи,2026-03-29,68,0.69,13.9,6.36,9.1,True,Комплексное,C
Белокочанная,2024-08-25,114,3.37,17.4,5.66,16.8,False,Минеральное,C
Краснокочанная,2026-01-27,144,1.87,14.4,5.27,9.3,True,Комплексное,C
Краснокочанная,2024-12-17,117,2.0,18.4,5.27,20.5,False,Органическое,C
Белокочанная,2026-05-09,96,1.69,19.7,7.52,11.1,True,Органическое,D
Брюссельская,2025-05-08,124,1.02,5.6,7.35,15.6,False,Органическое,B
Цветная,2025-09-26,91,1.22,17.7,6.75,10.4,True,Без удобрений,C
Брюссельская,2024-09-09,130,0.72,5.1,5.56,13.8,False,Комплексное,B
Кольраби,2024-12-28,71,0.48,10.5,5.82,9.5,True,Комплексное,C
Кольраби,2026-01-17,73,0.37,8.1,6.06,12.2,False,Минеральное,A
Савойская,2026-01-26,122,2.35,16.4,7.36,11.4,False,Комплексное,B
Краснокочанная,2025-06-25,115,1.98,21.2,5.33,9.5,False,Минеральное,C
Белокочанная,2024-08-02,121,1.63,23.4,5.53,14.3,False,Биоудобрение,A
Цветная,2025-12-07,121,0.98,19.9,7.57,12.5,False,Органическое,B
Краснокочанная,2024-07-11,102,2.53,22.7,6.67,10.3,False,Минеральное,A
Пекинская,2024-03-19,53,0.68,12.9,6.82,10.9,False,Органическое,A
Белокочанная,2024-12-31,135,4.1,17.6,7.48,8.3,False,Минеральное,B
Пекинская,2024-08-16,55,0.81,9.2,7.48,16.5,False,Комплексное,B
Белокочанная,2025-03-20,137,1.28,21.2,7.3,12.8,True,Биоудобрение,C
Кольраби,2025-03-25,57,0.56,11.1,5.5,12.9,False,Комплексное,A
Савойская,2025-05-03,105,1.27,15.9,7.19,18.0,True,Без удобрений,D
Пекинская,2025-03-02,75,1.06,10.4,6.89,12.7,False,Органическое,A
Кольраби,2024-07-31,71,0.62,12.4,7.48,13.3,False,Биоудобрение,B
Савойская,2024-04-10,98,0.79,12.9,7.25,9.2,False,Без удобрений,B
Кольраби,2025-11-27,80,0.93,8.3,5.84,12.6,False,Без удобрений,B
Брокколи,2025-12-25,71,0.57,18.3,7.33,14.1,False,Биоудобрение,A
Кольраби,2024-09-02,63,0.81,10.5,6.67,14.0,False,Комплексное,A
Краснокочанная,2024-11-23,146,2.29,22.8,6.77,21.0,False,Комплексное,B
Краснокочанная,2025-05-18,135,3.03,21.9,6.79,13.0,False,Минеральное,A
Кольраби,2025-07-21,59,0.64,10.4,7.29,17.1,False,Биоудобрение,B
Краснокочанная,2025-06-14,131,2.78,13.2,6.27,11.5,False,Органическое,A
Белокочанная,2024-06-02,131,3.03,24.1,7.1,18.5,False,Минеральное,B
Пекинская,2025-06-09,73,0.71,15.6,6.0,13.6,False,Минеральное,B
Брюссельская,2025-09-12,120,0.4,6.7,6.45,12.6,True,Органическое,B
Брокколи,2024-10-07,104,1.36,14.1,6.3,14.2,True,Минеральное,C
Савойская,2025-07-24,130,2.37,20.9,5.21,12.6,False,Минеральное,B
Савойская,2024-06-15,133,2.4,21.3,6.13,6.3,False,Минеральное,B
Брюссельская,2025-06-07,125,1.23,7.3,7.13,16.5,False,Минеральное,A
Пекинская,2024-10-01,56,1.24,14.6,6.7,12.1,False,Биоудобрение,A
Цветная,2025-09-27,104,1.28,20.8,6.35,7.6,False,Комплексное,A
Белокочанная,2025-03-26,110,2.98,16.5,5.55,11.7,False,Органическое,B
Пекинская,2026-04-11,80,1.86,15.6,6.5,10.2,False,Комплексное,A
Брюссельская,2026-02-08,110,1.3,3.9,6.79,16.5,False,Биоудобрение,B
Кольраби,2024-10-17,68,0.89,12.6,7.39,11.4,False,Минеральное,B
Краснокочанная,2024-09-08,122,1.08,17.1,7.51,12.8,True,Органическое,C
Савойская,2024-04-10,116,1.86,19.9,5.57,12.4,False,Комплексное,A
Цветная,2025-08-21,105,1.5,15.7,5.73,13.6,False,Минеральное,A
Цветная,2025-03-05,118,2.24,11.2,5.9,18.3,False,Минеральное,B
Пекинская,2024-04-10,79,1.51,10.2,6.84,9.2,False,Минеральное,A
Кольраби,2025-07-12,68,1.01,11.6,5.31,15.1,False,Биоудобрение,B
Пекинская,2026-01-16,72,1.52,16.5,6.71,14.4,False,Органическое,A
Кольраби,2026-03-05,69,1.08,9.6,6.0,14.1,False,Минеральное,A
Цветная,2024-03-18,117,1.41,18.9,6.13,13.3,False,Без удобрений,B
Краснокочанная,2024-12-22,125,2.83,13.6,7.09,12.5,False,Минеральное,A
Брокколи,2026-05-25,87,1.26,7.8,7.11,3.3,True,Комплексное,D
Белокочанная,2024-03-06,141,3.2,17.2,6.57,9.0,True,Органическое,B
Савойская,2024-08-12,136,2.22,20.6,5.64,10.7,True,Комплексное,C
